value,unit,fraction_type,component_inchi_0,component_inchi_1,component_inchi_2,component_inchi_3,fraction_0,fraction_1,fraction_2,fraction_3,temperature,temperature_unit,surface_area_fraction_0,surface_area_fraction_1,surface_area_fraction_2,surface_area_fraction_3
-1.2675730936932224,ln(mPa*s),molar,InChI=1S/AsCl3/c2-1(3)4,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",,,0.1,0.9,,,303.15,K,0.058732034623797356,0.9412679653762026,,
-1.0216570057614582,ln(mPa*s),molar,InChI=1S/AsCl3/c2-1(3)4,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",,,0.2,0.8,,,303.15,K,0.12310902360728768,0.8768909763927124,,
-0.8425158855265215,ln(mPa*s),molar,InChI=1S/AsCl3/c2-1(3)4,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",,,0.3,0.7,,,303.15,K,0.19398588812620088,0.8060141118737991,,
-0.5811724774716972,ln(mPa*s),molar,InChI=1S/AsCl3/c2-1(3)4,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",,,0.4,0.6,,,303.15,K,0.27239936349990135,0.7276006365000987,,
-0.40640626891344905,ln(mPa*s),molar,InChI=1S/AsCl3/c2-1(3)4,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",,,0.5,0.5,,,303.15,K,0.3596190456773728,0.6403809543226272,,
-0.25650797935953673,ln(mPa*s),molar,InChI=1S/AsCl3/c2-1(3)4,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",,,0.6,0.4,,,303.15,K,0.4572166591927182,0.5427833408072817,,
-0.1353920034680499,ln(mPa*s),molar,InChI=1S/AsCl3/c2-1(3)4,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",,,0.7,0.3,,,303.15,K,0.567161614958783,0.43283838504121697,,
-0.039374205090198185,ln(mPa*s),molar,InChI=1S/AsCl3/c2-1(3)4,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",,,0.8,0.2,,,303.15,K,0.6919552849904504,0.3080447150095496,,
0.040986014655294015,ln(mPa*s),molar,InChI=1S/AsCl3/c2-1(3)4,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",,,0.9,0.1,,,303.15,K,0.8348236207298819,0.16517637927011808,,
-0.3852224860579039,ln(mPa*s),molar,InChI=1S/AsCl3/c2-1(3)4,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,,,0.1,0.9,,,303.15,K,0.0682283696964169,0.9317716303035831,,
-0.30278993972871704,ln(mPa*s),molar,InChI=1S/AsCl3/c2-1(3)4,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,,,0.2,0.8,,,303.15,K,0.14145018723183658,0.8585498127681633,,
-0.22242971998322483,ln(mPa*s),molar,InChI=1S/AsCl3/c2-1(3)4,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,,,0.3,0.7,,,303.15,K,0.22023445984073792,0.7797655401592621,,
-0.13677355452384632,ln(mPa*s),molar,InChI=1S/AsCl3/c2-1(3)4,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,,,0.4,0.6,,,303.15,K,0.30524005991001624,0.6947599400899837,,
-0.04167679018319224,ln(mPa*s),molar,InChI=1S/AsCl3/c2-1(3)4,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,,,0.5,0.5,,,303.15,K,0.3972341951084232,0.6027658048915767,,
0.0501963550272702,ln(mPa*s),molar,InChI=1S/AsCl3/c2-1(3)4,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,,,0.6,0.4,,,303.15,K,0.49711562923511976,0.5028843707648804,,
0.10660968980562432,ln(mPa*s),molar,InChI=1S/AsCl3/c2-1(3)4,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,,,0.7,0.3,,,303.15,K,0.6059441432305304,0.3940558567694696,,
0.13401045241225348,ln(mPa*s),molar,InChI=1S/AsCl3/c2-1(3)4,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,,,0.8,0.2,,,303.15,K,0.7249782844956034,0.2750217155043966,,
0.13124735030066062,ln(mPa*s),molar,InChI=1S/AsCl3/c2-1(3)4,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,,,0.9,0.1,,,303.15,K,0.8557242587383536,0.14427574126164655,,
0.6786019091179095,ln(mPa*s),molar,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,,0.048,0.952,,,298.0,K,0.09207620365446546,0.9079237963455346,,
0.7539223792744041,ln(mPa*s),molar,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,,0.132,0.868,,,298.0,K,0.23423154994384948,0.7657684500561505,,
0.7950447069861052,ln(mPa*s),molar,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,,0.164,0.836,,,298.0,K,0.2829364659884323,0.7170635340115677,,
0.9054400758498845,ln(mPa*s),molar,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,,0.233,0.767,,,298.0,K,0.3792746173400654,0.6207253826599346,,
1.0359848291773133,ln(mPa*s),molar,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,,0.313,0.687,,,298.0,K,0.4781861075559967,0.5218138924440033,,
1.2106186715470386,ln(mPa*s),molar,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,,0.405,0.595,,,298.0,K,0.5778968726350218,0.4221031273649782,,
1.4224695760631636,ln(mPa*s),molar,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,,0.515,0.485,,,298.0,K,0.6811014235058801,0.3188985764941199,,
1.6900459987125669,ln(mPa*s),molar,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,,0.645,0.355,,,298.0,K,0.7851530302435539,0.21484696975644607,,
2.048923054087581,ln(mPa*s),molar,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,,0.804,0.196,,,298.0,K,0.8919007158019245,0.10809928419807545,,
2.2924064660833157,ln(mPa*s),molar,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,,0.895,0.105,,,298.0,K,0.9448871955856248,0.055112804414375195,,
0.2852902930219623,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C10H14/c1-9(2)8-10-6-4-3-5-7-10/h3-7,9H,8H2,1-2H3",,,0.5,0.5,,,298.15,K,0.47417035726285656,0.5258296427371435,,
0.4623590866732044,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2/t9-,10-",,,0.2,0.8,,,308.15,K,0.17512049803230145,0.8248795019676985,,
0.4540697803384258,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2/t9-,10-",,,0.3,0.7,,,308.15,K,0.2668298684466136,0.7331701315533864,,
0.4443989229478509,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2/t9-,10-",,,0.4,0.6,,,308.15,K,0.36148288887079066,0.6385171111292093,,
0.4508461612082342,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2/t9-,10-",,,0.5,0.5,,,308.15,K,0.45922359705554827,0.5407764029444517,,
0.4600565015802104,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2/t9-,10-",,,0.6,0.4,,,308.15,K,0.5602055839152418,0.4397944160847582,,
0.47018787598938416,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2/t9-,10-",,,0.7,0.3,,,308.15,K,0.6645927988868815,0.3354072011131185,,
0.4830823525101508,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2/t9-,10-",,,0.8,0.2,,,308.15,K,0.7725604381592666,0.22743956184073347,,
0.5061082034400913,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2/t9-,10-",,,0.9,0.1,,,308.15,K,0.8842959258942269,0.1157040741057731,,
-0.15956914694448737,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",,,0.1,0.9,,,301.9,K,0.07391392653476518,0.9260860734652349,,
-0.24890944855265637,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",,,0.1,0.9,,,308.15,K,0.07391392653476518,0.9260860734652349,,
-0.1105240844637142,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",,,0.2,0.8,,,301.9,K,0.15224047096963692,0.8477595290303631,,
-0.20032490309048198,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",,,0.2,0.8,,,308.15,K,0.15224047096963692,0.8477595290303631,,
-0.05917643688994698,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",,,0.3,0.7,,,301.9,K,0.23538693724361454,0.7646130627563855,,
-0.14552337787722372,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",,,0.3,0.7,,,308.15,K,0.23538693724361454,0.7646130627563855,,
0.008519564844077971,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",,,0.4,0.6,,,301.9,K,0.3238123485132868,0.6761876514867131,,
-0.08957056011746838,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",,,0.4,0.6,,,308.15,K,0.3238123485132868,0.6761876514867131,,
0.07322220595721067,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",,,0.5,0.5,,,301.9,K,0.41803592538845047,0.5819640746115494,,
-0.020493007327647007,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",,,0.5,0.5,,,308.15,K,0.41803592538845047,0.5819640746115494,,
0.15772707887009216,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",,,0.6,0.4,,,301.9,K,0.5186472884863704,0.4813527115136295,,
0.057104110306252336,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",,,0.6,0.4,,,308.15,K,0.5186472884863704,0.4813527115136295,,
0.240159625199279,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",,,0.7,0.3,,,301.9,K,0.6263188088041851,0.37368119119581483,,
0.14874699700741537,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",,,0.7,0.3,,,308.15,K,0.6263188088041851,0.37368119119581483,,
0.34469698842120866,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",,,0.8,0.2,,,301.9,K,0.7418206526035873,0.2581793473964127,,
0.2525935847014468,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",,,0.8,0.2,,,308.15,K,0.7418206526035873,0.2581793473964127,,
0.4722602025730788,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",,,0.9,0.1,,,301.9,K,0.8660392325343731,0.1339607674656268,,
0.3714069754999396,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",,,0.9,0.1,,,308.15,K,0.8660392325343731,0.1339607674656268,,
0.9894208144595416,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C12H22/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h11-12H,1-10H2",,,0.1,0.9,,,308.15,K,0.07442804136614989,0.9255719586338501,,
0.9201130031604208,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C12H22/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h11-12H,1-10H2",,,0.2,0.8,,,308.15,K,0.15320926150739972,0.8467907384926002,,
0.8528775184449946,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C12H22/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h11-12H,1-10H2",,,0.3,0.7,,,308.15,K,0.23673708155776893,0.7632629184422312,,
0.791628754971353,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C12H22/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h11-12H,1-10H2",,,0.4,0.6,,,308.15,K,0.32545380273371916,0.6745461972662808,,
0.7354456787022983,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C12H22/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h11-12H,1-10H2",,,0.5,0.5,,,308.15,K,0.4198584409861776,0.5801415590138225,,
0.6824862215634352,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C12H22/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h11-12H,1-10H2",,,0.6,0.4,,,308.15,K,0.5205161184739432,0.4794838815260568,,
0.6355134856663567,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C12H22/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h11-12H,1-10H2",,,0.7,0.3,,,308.15,K,0.6280693851355407,0.37193061486445933,,
0.5917643688994698,ln(mPa*s),molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2","InChI=1S/C12H22/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h11-12H,1-10H2",,,0.8,0.2,,,308.15,K,0.7432519495503142,0.2567480504496858,,
