prediction_row_position,source_row_index,value,unit,fraction_type,component_inchi_0,fraction_0,component_inchi_1,fraction_1,component_inchi_2,fraction_2,component_inchi_3,fraction_3,y_true,y_pred,reference_ideal_value,reference_excess_value,predicted_excess,weighted_pure_pred,y_pred_mix,rank_true_desc,rank_pred_desc,rank_reference_ideal_desc,rank_weighted_pure_pred_desc,rank_reference_excess_desc,rank_predicted_excess_desc
0,9,15.51,-,molar,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",0.912,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.088,,0.0,,0.0,15.51,18.017529,16.752000000000002,-1.2420000000000029,0.1635371398925791,17.853991394042968,18.017528533935547,68.5,70.0,55.0,64.0,63.0,94.0
1,10,15.51,-,molar,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",0.881,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.119,,0.0,,0.0,15.51,17.7911,16.488500000000002,-0.978500000000002,0.1825473880767809,17.608552160263063,17.791099548339844,68.5,71.0,57.0,66.0,60.0,91.0
2,11,13.4,-,molar,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",0.88,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.12,,0.0,,0.0,13.4,17.783785,16.48,-3.08,0.1831501007080085,17.600634765625,17.783784866333008,73.0,72.0,58.0,67.0,75.0,90.0
3,12,13.17,-,molar,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",0.822,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.178,,0.0,,0.0,13.17,17.343622,15.987,-2.817,0.2021963310241687,17.141425876617433,17.3436222076416,74.5,73.0,60.0,69.0,72.0,89.0
4,13,11.0,-,molar,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",0.77,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.23,,0.0,,0.0,11.0,17.037172,15.545,-4.545,0.3074509620666497,16.729721355438233,17.037172317504883,78.0,74.0,63.0,73.0,84.0,86.0
5,14,13.17,-,molar,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",0.767,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.233,,0.0,,0.0,13.17,17.028484,15.5195,-2.349499999999999,0.3225151729583722,16.70596917152405,17.028484344482422,74.5,75.0,64.0,74.0,68.0,85.0
6,15,11.74,-,molar,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",0.73,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.27,,0.0,,0.0,11.74,16.901411,15.205,-3.465,0.4883854866027839,16.41302556991577,16.901411056518555,76.5,76.0,67.0,76.0,78.0,81.0
7,16,9.7,-,molar,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",0.66,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.34,,0.0,,0.0,9.7,16.619274,14.61,-4.910000000000002,0.7604661941528317,15.858807945251463,16.619274139404297,81.0,77.0,68.0,78.0,85.0,78.0
8,17,11.74,-,molar,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",0.658,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.342,,0.0,,0.0,11.74,16.61179,14.593,-2.853,0.7688165473937989,15.842973155975342,16.61178970336914,76.5,78.0,69.0,79.0,73.0,77.0
9,18,10.63,-,molar,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",0.635,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.365,,0.0,,0.0,10.63,16.53408,14.3975,-3.7675,0.8732074260711666,15.660873079299927,16.534080505371094,79.5,79.0,70.0,80.0,81.0,74.0
10,19,10.63,-,molar,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",0.553,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.447,,0.0,,0.0,10.63,16.26475,13.7005,-3.070499999999999,1.2531028079986566,15.011646718978882,16.26474952697754,79.5,81.0,71.0,81.0,74.0,67.0
11,20,8.7,-,molar,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",0.55,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.45,,0.0,,0.0,8.7,16.254694,13.675,-4.975000000000001,1.2667994499206523,14.9878945350647,16.25469398498535,92.0,82.0,72.0,82.0,86.0,65.0
12,21,9.66,-,molar,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",0.537,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.463,,0.0,,0.0,9.66,16.211126,13.5645,-3.904500000000001,1.3261579227447502,14.884968404769898,16.21112632751465,82.5,83.0,73.0,83.0,82.0,62.0
13,22,9.66,-,molar,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.548,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",0.452,,0.0,,0.0,9.66,15.634211,12.842,-3.1820000000000004,1.4222207260131832,14.211989860534668,15.634210586547852,82.5,84.0,74.0,84.0,77.0,58.0
