test_row_position,source_row_index,y_true,y_pred_mix,component_inchi_0,fraction_0,pure_pred_0,component_inchi_1,fraction_1,pure_pred_1,component_inchi_2,fraction_2,pure_pred_2,component_inchi_3,fraction_3,pure_pred_3,n_components,weighted_pure_pred,predicted_excess,reference_ideal_value,reference_excess_value,ideal_error,excess_error
0,4,43.5,44.54720687866211,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",0.79,50.95377349853516,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.21,8.450254440307617,,0.0,,,0.0,,2,42.02803449630738,2.519172382354732,43.760000000000005,-0.2600000000000051,-1.7319655036926278,2.779172382354737
1,5,32.6,36.72355270385742,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",0.58,50.95377349853516,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.42,8.450254440307617,,0.0,,,0.0,,2,33.102295494079584,3.6212572097778377,34.52,-1.9199999999999944,-1.417704505920419,5.541257209777832
2,6,28.4,31.83221244812012,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.52,8.450254440307617,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",0.48,50.95377349853516,,0.0,,,0.0,,2,28.851943588256837,2.9802688598632834,30.12,-1.7199999999999989,-1.2680564117431636,4.700268859863282
3,7,24.6,26.840591430664062,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.62,8.450254440307617,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",0.38,50.95377349853516,,0.0,,,0.0,,2,24.601591682434083,2.238999748229979,25.72,-1.1199999999999974,-1.1184083175659154,3.3589997482299765
4,8,20.2,16.930965423583984,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.81,8.450254440307617,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",0.19,50.95377349853516,,0.0,,,0.0,,2,16.52592306137085,0.405042362213134,17.36,2.84,-0.8340769386291491,-2.434957637786866
5,68,33.0,30.61210823059082,"InChI=1S/C8H16/c1-3-5-7-8-6-4-2/h3H,1,4-8H2,2H3",0.55,40.64464569091797,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.28,7.819696426391602,"InChI=1S/C9H10/c1-2-5-9-7-3-6-8(9)4-1/h1-2,4-5H,3,6-7H2",0.14,6.932146072387695,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.03,66.3902587890625,4,27.506278343200687,3.105829887390133,26.864,6.135999999999999,0.6422783432006867,-3.0301701126098664
6,69,53.0,53.01153564453125,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.52,66.3902587890625,"InChI=1S/C9H10/c1-2-5-9-7-3-6-8(9)4-1/h1-2,4-5H,3,6-7H2",0.24,6.932146072387695,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.12,7.819696426391602,"InChI=1S/C8H16/c1-3-5-7-8-6-4-2/h3H,1,4-8H2,2H3",0.12,40.64464569091797,4,42.0023706817627,11.009164962768551,41.904,11.096000000000004,0.09837068176269526,-0.08683503723145236
7,70,32.99,30.078033447265625,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",0.678,17.49015998840332,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.172,66.3902587890625,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.15,7.819696426391602,,0.0,,3,24.45040744781494,5.627625999450686,24.117,8.873000000000005,0.33340744781493825,-3.245374000549319
8,71,31.66,28.333372116088867,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",0.439,17.49015998840332,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.384,7.819696426391602,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.177,66.3902587890625,,0.0,,3,22.43201946830749,5.901352647781373,21.6685,9.991500000000002,0.7635194683074893,-4.090147352218629
9,72,36.93,35.19266891479492,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.479,7.819696426391602,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.261,66.3902587890625,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",0.26,17.49015998840332,,0.0,,3,25.62093372917176,9.571735185623163,24.65,12.28,0.9709337291717617,-2.708264814376836
10,73,43.27,42.35628509521485,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",0.354,17.49015998840332,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.348,66.3902587890625,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.298,7.819696426391602,,0.0,,3,31.62559622955322,10.730688865661625,30.951000000000004,12.319,0.6745962295532166,-1.588311134338376
11,74,45.52,47.371337890625,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",0.454,17.49015998840332,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.376,66.3902587890625,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.17,7.819696426391602,,0.0,,3,34.23261833190918,13.13871955871582,33.781,11.739000000000004,0.4516183319091809,1.399719558715816
12,75,57.14,59.01309967041016,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.683,66.3902587890625,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",0.172,17.49015998840332,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.145,7.819696426391602,,0.0,,3,49.486710252761846,9.52638941764831,48.958,8.182000000000002,0.5287102527618472,1.3443894176483084
13,89,22.0,28.028430938720703,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.81,7.819696426391602,"InChI=1S/C10H22O/c1-9(2)5-7-11-8-6-10(3)4/h9-10H,5-8H2,1-4H3",0.19,97.10784149169922,,0.0,,,0.0,,2,24.78444398880005,3.2439869499206537,23.119,-1.1189999999999998,1.6654439888000496,4.3629869499206535
14,90,32.9,37.20317840576172,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.74,7.819696426391602,"InChI=1S/C10H22O/c1-9(2)5-7-11-8-6-10(3)4/h9-10H,5-8H2,1-4H3",0.26,97.10784149169922,,0.0,,,0.0,,2,31.03461414337158,6.168564262390138,29.426,3.4739999999999966,1.6086141433715824,2.6945642623901414
15,91,43.4,42.56673431396485,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",0.65,7.819696426391602,"InChI=1S/C10H22O/c1-9(2)5-7-11-8-6-10(3)4/h9-10H,5-8H2,1-4H3",0.35,97.10784149169922,,0.0,,,0.0,,2,39.07054719924926,3.496187114715582,37.535,5.865000000000002,1.5355471992492653,-2.36881288528442
