value,unit,fraction_type,component_inchi_0,component_inchi_1,component_inchi_2,component_inchi_3,fraction_0,fraction_1,fraction_2,fraction_3
71.85000000000002,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3","InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3","InChI=1S/C14H30/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3-14H2,1-2H3",,0.251,0.21,0.539,
65.35000000000002,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3","InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3","InChI=1S/C14H30/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3-14H2,1-2H3",,0.392,0.327,0.281,
56.85000000000002,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3","InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3","InChI=1S/C14H30/c1-3-5-7-9-11-13-14-12-10-8-6-4-2/h3-14H2,1-2H3",,0.659,0.183,0.158,
0.7,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.01,0.09,0.9,
-4.4,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.01,0.19,0.8,
-7.8,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.01,0.29,0.7,
-9.9,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.01,0.39,0.6,
-11.6,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.01,0.49,0.5,
-13.9,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.01,0.59,0.4,
1.7,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.02,0.08,0.9,
-15.5,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.02,0.78,0.2,
-16.8,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.02,0.88,0.1,
-4.5,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.023,0.177,0.8,
-11.0,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.033,0.367,0.6,
-13.2,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.038,0.562,0.4,
-16.0,Celcius,molar,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",InChI=1S/C3H6O/c1-3(2)4/h1-2H3,"InChI=1S/CH4O/c1-2/h2H,1H3",,0.041,0.759,0.2,
