prediction_row_position,source_row_index,value,unit,fraction_type,component_inchi_0,fraction_0,component_inchi_1,fraction_1,component_inchi_2,fraction_2,component_inchi_3,fraction_3,y_true,y_pred,reference_ideal_value,reference_excess_value,predicted_excess,weighted_pure_pred,y_pred_mix,rank_true_desc,rank_pred_desc,rank_reference_ideal_desc,rank_weighted_pure_pred_desc,rank_reference_excess_desc,rank_predicted_excess_desc
0,3,0.7,Celcius,molar,"InChI=1S/CH4O/c1-2/h2H,1H3",0.9,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,0.09,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.01,,0.0,0.7,4.6982574,9.613,-8.913000000000002,-4.242106132507324,8.940363578796386,4.698257446289063,58.0,94.0,104.0,108.0,92.0,98.0
1,4,-4.4,Celcius,molar,"InChI=1S/CH4O/c1-2/h2H,1H3",0.8,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,0.19,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.01,,0.0,-4.4,-1.3801422,6.583000000000001,-10.983,-7.449496726989746,6.069354515075684,-1.3801422119140625,84.0,169.0,123.0,137.0,104.0,134.0
2,5,-7.8,Celcius,molar,"InChI=1S/CH4O/c1-2/h2H,1H3",0.7,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,0.29,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.01,,0.0,-7.8,-5.3445854,3.552999999999999,-11.352999999999998,-8.542930870056153,3.1983454513549807,-5.344585418701172,111.0,175.0,141.0,158.0,108.0,145.0
3,6,-9.9,Celcius,molar,"InChI=1S/CH4O/c1-2/h2H,1H3",0.6,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,0.39,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.01,,0.0,-9.9,-8.568733,0.5229999999999988,-10.422999999999998,-8.896069602966307,0.3273363876342765,-8.568733215332031,144.0,180.0,159.0,172.0,103.0,149.0
4,7,-11.6,Celcius,molar,"InChI=1S/CH4O/c1-2/h2H,1H3",0.5,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,0.49,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.01,,0.0,-11.6,-10.716274,-2.507,-9.093,-8.172601585388184,-2.543672676086425,-10.71627426147461,161.5,185.0,172.0,183.0,94.0,143.0
5,8,-13.9,Celcius,molar,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,0.59,"InChI=1S/CH4O/c1-2/h2H,1H3",0.4,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.01,,0.0,-13.9,-12.197025,-5.536999999999999,-8.363000000000001,-6.782343559265137,-5.414681739807128,-12.197025299072266,174.0,189.0,182.0,187.0,85.0,126.0
6,9,1.7,Celcius,molar,"InChI=1S/CH4O/c1-2/h2H,1H3",0.9,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,0.08,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.02,,0.0,1.7,5.1805496,10.256,-8.556000000000001,-4.338310775756835,9.518860397338866,5.180549621582031,55.5,89.0,102.0,104.0,87.0,99.0
7,10,-15.5,Celcius,molar,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,0.78,"InChI=1S/CH4O/c1-2/h2H,1H3",0.2,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.02,,0.0,-15.5,-14.602779,-10.954,-4.545999999999999,-4.02457633972168,-10.578203048706056,-14.602779388427734,179.5,196.0,195.0,195.0,55.0,95.0
8,11,-16.8,Celcius,molar,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,0.88,"InChI=1S/CH4O/c1-2/h2H,1H3",0.1,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.02,,0.0,-16.8,-15.705383,-13.983999999999998,-2.8160000000000025,-2.256171188354493,-13.449212112426755,-15.70538330078125,184.0,198.0,198.0,198.0,46.0,72.0
9,12,-4.5,Celcius,molar,"InChI=1S/CH4O/c1-2/h2H,1H3",0.8,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,0.177,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.023,,0.0,-4.5,-0.82263947,7.418900000000002,-11.9189,-7.644039844512941,6.8214003791809095,-0.8226394653320312,86.0,165.0,115.0,131.0,111.0,137.0
