test_row_position,source_row_index,y_true,y_pred_mix,component_inchi_0,fraction_0,pure_pred_0,component_inchi_1,fraction_1,pure_pred_1,component_inchi_2,fraction_2,pure_pred_2,component_inchi_3,fraction_3,pure_pred_3,n_components,weighted_pure_pred,predicted_excess,reference_ideal_value,reference_excess_value,ideal_error,excess_error
0,92,117.0,128.44400024414062,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.866,137.44358825683594,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3",0.134,82.32826232910156,,0.0,,,0.0,,2,130.05813458251953,-1.6141343383789035,127.63,-10.629999999999995,2.428134582519533,9.015865661621092
1,93,108.0,119.81678771972656,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.741,137.44358825683594,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3",0.259,82.32826232910156,,0.0,,,0.0,,2,123.16871884155272,-3.351931121826169,120.755,-12.754999999999995,2.413718841552722,9.403068878173826
2,94,104.0,111.65779113769533,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.626,137.44358825683594,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3",0.374,82.32826232910156,,0.0,,,0.0,,2,116.83045635986328,-5.172665222167964,114.43,-10.430000000000009,2.40045635986327,5.257334777832044
3,95,100.0,104.46603393554688,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.518,137.44358825683594,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3",0.482,82.32826232910156,,0.0,,,0.0,,2,110.87800115966796,-6.411967224121099,108.49,-8.490000000000009,2.388001159667965,2.07803277587891
4,96,97.0,98.77813720703124,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3",0.582,82.32826232910156,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.418,137.44358825683594,,0.0,,,0.0,,2,105.36646856689453,-6.588331359863275,102.99,-5.989999999999995,2.3764685668945305,-0.5983313598632805
5,97,95.0,94.2792739868164,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3",0.675,82.32826232910156,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.325,137.44358825683594,,0.0,,,0.0,,2,100.24074325561524,-5.961469268798837,97.875,-2.875,2.365743255615243,-3.0864692687988367
6,98,92.0,90.29388427734376,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3",0.765,82.32826232910156,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.235,137.44358825683594,,0.0,,,0.0,,2,95.28036392211914,-4.986479644775386,92.925,-0.9249999999999972,2.355363922119139,-4.061479644775389
7,99,90.0,87.06590270996094,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3",0.848,82.32826232910156,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.152,137.44358825683594,,0.0,,,0.0,,2,90.7057918701172,-3.639889160156258,88.36,1.6400000000000006,2.3457918701171963,-5.279889160156259
8,100,89.0,84.49253845214844,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3",0.926,82.32826232910156,"InChI=1S/C16H34/c1-3-5-7-9-11-13-15-16-14-12-10-8-6-4-2/h3-16H2,1-2H3",0.074,137.44358825683594,,0.0,,,0.0,,2,86.4067964477539,-1.9142579956054675,84.07,4.930000000000007,2.336796447753912,-6.844257995605474
9,106,39.85000000000002,34.4421272277832,"InChI=1S/C9H12/c1-2-6-9-7-4-3-5-8-9/h3-5,7-8H,2,6H2,1H3",0.9,35.89036560058594,"InChI=1S/C12H26/c1-10(8-11(2,3)4)9-12(5,6)7/h10H,8-9H2,1-7H3",0.1,42.7059211730957,,0.0,,,0.0,,2,36.57192115783691,-2.129793930053708,31.7,8.150000000000023,4.871921157836912,-10.279793930053732
10,107,39.85000000000002,36.676788330078125,"InChI=1S/C9H12/c1-2-6-9-7-4-3-5-8-9/h3-5,7-8H,2,6H2,1H3",0.8,35.89036560058594,"InChI=1S/C12H26/c1-10(8-11(2,3)4)9-12(5,6)7/h10H,8-9H2,1-7H3",0.2,42.7059211730957,,0.0,,,0.0,,2,37.25347671508789,-0.576688385009767,33.4,6.450000000000024,3.8534767150878935,-7.026688385009791
11,108,39.85000000000002,38.93917465209961,"InChI=1S/C9H12/c1-2-6-9-7-4-3-5-8-9/h3-5,7-8H,2,6H2,1H3",0.7,35.89036560058594,"InChI=1S/C12H26/c1-10(8-11(2,3)4)9-12(5,6)7/h10H,8-9H2,1-7H3",0.3,42.7059211730957,,0.0,,,0.0,,2,37.93503227233887,1.0041423797607436,35.1,4.750000000000021,2.8350322723388715,-3.7458576202392777
12,109,39.85000000000002,41.86529541015625,"InChI=1S/C9H12/c1-2-6-9-7-4-3-5-8-9/h3-5,7-8H,2,6H2,1H3",0.6,35.89036560058594,"InChI=1S/C12H26/c1-10(8-11(2,3)4)9-12(5,6)7/h10H,8-9H2,1-7H3",0.4,42.7059211730957,,0.0,,,0.0,,2,38.61658782958985,3.2487075805664034,36.8,3.0500000000000256,1.8165878295898494,0.19870758056637783
13,110,40.85000000000002,44.024559020996094,"InChI=1S/C12H26/c1-10(8-11(2,3)4)9-12(5,6)7/h10H,8-9H2,1-7H3",0.502,42.7059211730957,"InChI=1S/C9H12/c1-2-6-9-7-4-3-5-8-9/h3-5,7-8H,2,6H2,1H3",0.498,35.89036560058594,,0.0,,,0.0,,2,39.31177449798584,4.7127845230102565,38.534,2.316000000000024,0.7777744979858383,2.3967845230102327
14,111,41.85000000000002,44.57451248168945,"InChI=1S/C12H26/c1-10(8-11(2,3)4)9-12(5,6)7/h10H,8-9H2,1-7H3",0.6,42.7059211730957,"InChI=1S/C9H12/c1-2-6-9-7-4-3-5-8-9/h3-5,7-8H,2,6H2,1H3",0.4,35.89036560058594,,0.0,,,0.0,,2,39.979698944091794,4.594813537597659,40.2,1.65000000000002,-0.2203010559082088,2.944813537597639
15,112,41.85000000000002,43.86580276489258,"InChI=1S/C12H26/c1-10(8-11(2,3)4)9-12(5,6)7/h10H,8-9H2,1-7H3",0.699,42.7059211730957,"InChI=1S/C9H12/c1-2-6-9-7-4-3-5-8-9/h3-5,7-8H,2,6H2,1H3",0.301,35.89036560058594,,0.0,,,0.0,,2,40.65443894577026,3.211363819122319,41.883,-0.0329999999999728,-1.2285610542297434,3.2443638191222917
16,113,42.85000000000002,43.09841537475586,"InChI=1S/C12H26/c1-10(8-11(2,3)4)9-12(5,6)7/h10H,8-9H2,1-7H3",0.8,42.7059211730957,"InChI=1S/C9H12/c1-2-6-9-7-4-3-5-8-9/h3-5,7-8H,2,6H2,1H3",0.2,35.89036560058594,,0.0,,,0.0,,2,41.34281005859376,1.7556053161621037,43.6,-0.7499999999999787,-2.2571899414062386,2.5056053161620824
17,114,43.85000000000002,42.65914916992188,"InChI=1S/C12H26/c1-10(8-11(2,3)4)9-12(5,6)7/h10H,8-9H2,1-7H3",0.899,42.7059211730957,"InChI=1S/C9H12/c1-2-6-9-7-4-3-5-8-9/h3-5,7-8H,2,6H2,1H3",0.101,35.89036560058594,,0.0,,,0.0,,2,42.01755006027222,0.641599109649654,45.283,-1.4329999999999783,-3.2654499397277803,2.0745991096496326
18,437,-0.1499999999999772,3.4156532287597656,"InChI=1S/CH4O/c1-2/h2H,1H3",0.8,8.735763549804688,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.1,9.837102890014648,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,0.1,-19.408126831054688,,0.0,,3,6.031508445739746,-2.6158552169799805,9.070000000000002,-9.21999999999998,-3.038491554260256,6.604144783019999
19,438,-5.75,-0.5619659423828125,"InChI=1S/CH4O/c1-2/h2H,1H3",0.7,8.735763549804688,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,0.2,-19.408126831054688,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.1,9.837102890014648,,0.0,,3,3.217119407653808,-3.779085350036621,6.039999999999998,-11.79,-2.8228805923461904,8.010914649963379
20,439,-8.849999999999966,-4.034175872802734,"InChI=1S/CH4O/c1-2/h2H,1H3",0.6,8.735763549804688,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,0.3,-19.408126831054688,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.1,9.837102890014648,,0.0,,3,0.4027303695678714,-4.436906242370606,3.009999999999999,-11.859999999999964,-2.6072696304321274,7.423093757629358
21,440,-14.949999999999989,-10.65725326538086,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,0.6,-19.408126831054688,"InChI=1S/CH4O/c1-2/h2H,1H3",0.3,8.735763549804688,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.1,9.837102890014648,,0.0,,3,-8.040436744689941,-2.616816520690918,-6.08,-8.869999999999989,-1.9604367446899413,6.253183479309071
22,441,-4.449999999999989,1.0303802490234375,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.7,9.837102890014648,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,0.2,-19.408126831054688,"InChI=1S/CH4O/c1-2/h2H,1H3",0.1,8.735763549804688,,0.0,,3,3.877923011779785,-2.847542762756348,6.640000000000001,-11.08999999999999,-2.7620769882202154,8.242457237243642
23,442,-1.4499999999999886,4.609470367431641,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.8,9.837102890014648,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,0.1,-19.408126831054688,"InChI=1S/CH4O/c1-2/h2H,1H3",0.1,8.735763549804688,,0.0,,3,6.802445983886719,-2.1929756164550787,9.77,-11.219999999999988,-2.9675540161132803,9.027024383544909
24,459,39.5,63.10786819458008,"InChI=1S/C6H14O2/c1-2-3-5-8-6-4-7/h7H,2-6H2,1H3",0.956,66.80635070800781,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.044,9.837102890014648,,0.0,,,0.0,,2,64.2997038040161,-1.1918356094360265,58.888,-19.388,5.411703804016106,18.196164390563975
25,460,33.5,48.15419387817383,"InChI=1S/C6H14O2/c1-2-3-5-8-6-4-7/h7H,2-6H2,1H3",0.801,66.80635070800781,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",0.199,9.837102890014648,,0.0,,,0.0,,2,55.46947039222717,-7.315276514053345,51.44800000000001,-17.948000000000008,4.021470392227165,10.632723485946663
