value,unit,component_inchi_0
146.0,Celcius,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3"
77.0,Celcius,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2"
32.0,Celcius,"InChI=1S/C10H12/c1-2-9-7-4-5-8(6-7)10(9)3-1/h1-2,4-5,7-10H,3,6H2"
61.0,Celcius,"InChI=1S/C10H12/c1-3-9-5-7-10(4-2)8-6-9/h3,5-8H,1,4H2,2H3"
60.0,Celcius,"InChI=1S/C10H12/c1-3-9-6-5-7-10(4-2)8-9/h3,5-8H,1,4H2,2H3"
58.0,Celcius,"InChI=1S/C10H12/c1-3-9-7-5-6-8-10(9)4-2/h3,5-8H,1,4H2,2H3"
90.0,Celcius,"InChI=1S/C10H12O/c1-2-10(11)8-9-6-4-3-5-7-9/h3-7H,2,8H2,1H3"
98.0,Celcius,"InChI=1S/C10H12O/c1-9(11)7-8-10-5-3-2-4-6-10/h2-6H,7-8H2,1H3"
99.0,Celcius,"InChI=1S/C10H12O2/c1-8(2)12-10(11)9-6-4-3-5-7-9/h3-8H,1-2H3"
60.0,Celcius,"InChI=1S/C10H14/c1-10(2,3)9-7-5-4-6-8-9/h4-8H,1-3H3"
59.0,Celcius,"InChI=1S/C10H14/c1-2-3-7-10-8-5-4-6-9-10/h4-6,8-9H,2-3,7H2,1H3"
56.2,Celcius,"InChI=1S/C10H14/c1-3-4-10-7-5-9(2)6-8-10/h5-8H,3-4H2,1-2H3"
52.0,Celcius,"InChI=1S/C10H14/c1-3-5-10-7-4-6-9(2)8-10/h4,6-8H,3,5H2,1-2H3"
53.0,Celcius,"InChI=1S/C10H14/c1-3-6-10-8-5-4-7-9(10)2/h4-5,7-8H,3,6H2,1-2H3"
52.0,Celcius,"InChI=1S/C10H14/c1-3-9(2)10-7-5-4-6-8-10/h4-9H,3H2,1-2H3"
56.7,Celcius,"InChI=1S/C10H14/c1-3-9-5-7-10(4-2)8-6-9/h5-8H,3-4H2,1-2H3"
57.0,Celcius,"InChI=1S/C10H14/c1-3-9-6-5-7-10(4-2)8-9/h5-8H,3-4H2,1-2H3"
57.0,Celcius,"InChI=1S/C10H14/c1-3-9-7-5-6-8-10(9)4-2/h5-8H,3-4H2,1-2H3"
57.0,Celcius,"InChI=1S/C10H14/c1-4-10-6-5-8(2)7-9(10)3/h5-7H,4H2,1-3H3"
65.0,Celcius,"InChI=1S/C10H14/c1-4-10-7-5-6-8(2)9(10)3/h5-7H,4H2,1-3H3"
56.0,Celcius,"InChI=1S/C10H14/c1-4-10-7-8(2)5-6-9(10)3/h5-7H,4H2,1-3H3"
58.0,Celcius,"InChI=1S/C10H14/c1-4-10-8(2)6-5-7-9(10)3/h5-7H,4H2,1-3H3"
74.0,Celcius,"InChI=1S/C10H14/c1-7-5-6-8(2)10(4)9(7)3/h5-6H,1-4H3"
71.0,Celcius,"InChI=1S/C10H14/c1-7-5-8(2)10(4)9(3)6-7/h5-6H,1-4H3"
50.0,Celcius,"InChI=1S/C10H14/c1-8(2)10-6-4-5-9(3)7-10/h4-8H,1-3H3"
47.0,Celcius,"InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-8H,1-3H3"
50.0,Celcius,"InChI=1S/C10H14/c1-8(2)10-7-5-4-6-9(10)3/h4-8H,1-3H3"
55.0,Celcius,"InChI=1S/C10H14/c1-9(2)8-10-6-4-3-5-7-10/h3-7,9H,8H2,1-2H3"
82.0,Celcius,"InChI=1S/C10H14O/c1-2-3-9-11-10-7-5-4-6-8-10/h4-8H,2-3,9H2,1H3"
33.0,Celcius,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3"
31.0,Celcius,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h8-9H,1,4-6H2,2-3H3"
27.8,Celcius,"InChI=1S/C10H18/c1-10(2,3)9-7-5-4-6-8-9/h7H,4-6,8H2,1-3H3"
51.2,Celcius,"InChI=1S/C10H18/c1-2-3-4-7-10-8-5-6-9-10/h8H,2-7,9H2,1H3"
57.8,Celcius,"InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2"
108.0,Celcius,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7+"
74.8,Celcius,"InChI=1S/C10H18O2/c1-8(2)10(11)12-9-6-4-3-5-7-9/h8-9H,3-7H2,1-2H3"
48.0,Celcius,"InChI=1S/C10H20/c1-2-3-7-10-8-5-4-6-9-10/h10H,2-9H2,1H3"
47.0,Celcius,"InChI=1S/C10H20/c1-3-5-7-9-10-8-6-4-2/h3H,1,4-10H2,2H3"
85.0,Celcius,"InChI=1S/C10H20O/c1-2-3-4-5-6-7-8-9-10-11/h10H,2-9H2,1H3"
71.0,Celcius,"InChI=1S/C10H20O/c1-3-5-6-7-9-10(11)8-4-2/h3-9H2,1-2H3"
76.6,Celcius,"InChI=1S/C10H20O2/c1-3-5-6-7-8-10(11)12-9-4-2/h3-9H2,1-2H3"
79.0,Celcius,"InChI=1S/C10H20O2/c1-3-5-6-7-8-9-10(11)12-4-2/h3-9H2,1-2H3"
79.7,Celcius,"InChI=1S/C10H20O2/c1-3-5-6-7-8-9-12-10(11)4-2/h3-9H2,1-2H3"
46.0,Celcius,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3"
41.0,Celcius,"InChI=1S/C10H22/c1-4-5-6-7-8-9-10(2)3/h10H,4-9H2,1-3H3"
82.4,Celcius,"InChI=1S/C10H22/c1-5-10(4)8-6-7-9(2)3/h9-10H,5-8H2,1-4H3"
78.1,Celcius,"InChI=1S/C10H22/c1-5-6-7-10(4)8-9(2)3/h9-10H,5-8H2,1-4H3"
40.9,Celcius,"InChI=1S/C10H22/c1-5-6-7-8-9-10(2,3)4/h5-9H2,1-4H3"
86.5,Celcius,"InChI=1S/C10H22/c1-5-7-8-10(4)9(3)6-2/h9-10H,5-8H2,1-4H3"
43.5,Celcius,"InChI=1S/C10H22/c1-5-7-8-9-10(3,4)6-2/h5-9H2,1-4H3"
85.9,Celcius,"InChI=1S/C10H22/c1-5-7-9(3)10(4)8-6-2/h9-10H,5-8H2,1-4H3"
41.8,Celcius,"InChI=1S/C10H22/c1-5-7-9-10(3,4)8-6-2/h5-9H2,1-4H3"
83.5,Celcius,"InChI=1S/C10H22/c1-5-9(3)7-8-10(4)6-2/h9-10H,5-8H2,1-4H3"
39.7,Celcius,"InChI=1S/C10H22/c1-6-10(4,5)8-7-9(2)3/h9H,6-8H2,1-5H3"
38.5,Celcius,"InChI=1S/C10H22/c1-6-7-10(4,5)8-9(2)3/h9H,6-8H2,1-5H3"
40.7,Celcius,"InChI=1S/C10H22/c1-6-9(4)10(5)7-8(2)3/h8-10H,6-7H2,1-5H3"
31.0,Celcius,"InChI=1S/C10H22/c1-7(2)9(5)10(6)8(3)4/h7-10H,1-6H3"
31.0,Celcius,"InChI=1S/C10H22/c1-7-10(5,6)8-9(2,3)4/h7-8H2,1-6H3"
31.0,Celcius,"InChI=1S/C10H22/c1-7-10(5,6)9(4)8(2)3/h8-9H,7H2,1-6H3"
31.0,Celcius,"InChI=1S/C10H22/c1-7-8(2)9(3)10(4,5)6/h8-9H,7H2,1-6H3"
31.0,Celcius,"InChI=1S/C10H22/c1-7-8-10(5,6)9(2,3)4/h7-8H2,1-6H3"
31.0,Celcius,"InChI=1S/C10H22/c1-7-9(3,4)10(5,6)8-2/h7-8H2,1-6H3"
31.0,Celcius,"InChI=1S/C10H22/c1-7-9(4)10(5,6)8(2)3/h8-9H,7H2,1-6H3"
37.1,Celcius,"InChI=1S/C10H22/c1-8(2)6-10(5)7-9(3)4/h8-10H,6-7H2,1-5H3"
16.0,Celcius,"InChI=1S/C10H22/c1-9(2,3)7-8-10(4,5)6/h7-8H2,1-6H3"
82.0,Celcius,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3"
100.0,Celcius,"InChI=1S/C10H22O/c1-3-5-6-8-10(9-11)7-4-2/h10-11H,3-9H2,1-2H3"
63.0,Celcius,"InChI=1S/C10H22O/c1-3-5-7-9-11-10-8-6-4-2/h3-10H2,1-2H3"
79.0,Celcius,InChI=1S/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H
82.0,Celcius,"InChI=1S/C11H10/c1-9-5-4-7-10-6-2-3-8-11(9)10/h2-8H,1H3"
98.0,Celcius,"InChI=1S/C11H10/c1-9-6-7-10-4-2-3-5-11(10)8-9/h2-8H,1H3"
102.2,Celcius,"InChI=1S/C11H10O/c1-12-11-8-4-6-9-5-2-3-7-10(9)11/h2-8H,1H3"
107.0,Celcius,"InChI=1S/C11H14O2/c1-2-3-9-13-11(12)10-7-5-4-6-8-10/h4-8H,2-3,9H2,1H3"
65.0,Celcius,"InChI=1S/C11H16/c1-10(2)8-9-11-6-4-3-5-7-11/h3-7,10H,8-9H2,1-2H3"
66.0,Celcius,"InChI=1S/C11H16/c1-2-3-5-8-11-9-6-4-7-10-11/h4,6-7,9-10H,2-3,5,8H2,1H3"
91.0,Celcius,"InChI=1S/C11H16/c1-7-6-8(2)10(4)11(5)9(7)3/h6H,1-5H3"
91.0,Celcius,"InChI=1S/C11H16/c1-9-5-7-10(8-6-9)11(2,3)4/h5-8H,1-4H3"
96.0,Celcius,"InChI=1S/C11H22O/c1-2-3-4-5-6-7-8-9-10-11-12/h11H,2-10H2,1H3"
89.0,Celcius,"InChI=1S/C11H22O/c1-3-4-5-6-7-8-9-10-11(2)12/h3-10H2,1-2H3"
88.0,Celcius,"InChI=1S/C11H22O/c1-3-5-7-9-11(12)10-8-6-4-2/h3-10H2,1-2H3"
90.5,Celcius,"InChI=1S/C11H22O2/c1-3-5-6-7-8-10-13-11(12)9-4-2/h3-10H2,1-2H3"
92.0,Celcius,"InChI=1S/C11H22O2/c1-3-5-6-7-8-9-10-13-11(12)4-2/h3-10H2,1-2H3"
87.8,Celcius,"InChI=1S/C11H22O2/c1-3-5-7-8-9-11(12)13-10-6-4-2/h3-10H2,1-2H3"
65.0,Celcius,"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3"
93.0,Celcius,"InChI=1S/C11H24O/c1-2-3-4-5-6-7-8-9-10-11-12/h12H,2-11H2,1H3"
72.8,Celcius,"InChI=1S/C11H24O/c1-3-4-5-6-7-8-9-10-11-12-2/h3-11H2,1-2H3"
121.0,Celcius,"InChI=1S/C11H24O4/c1-5-13-7-10(3)15-8-11(4)14-6-9(2)12/h9-12H,5-8H2,1-4H3"
113.0,Celcius,InChI=1S/C12H10/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h1-10H
112.0,Celcius,InChI=1S/C12H10O/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h1-10H
204.3,Celcius,"InChI=1S/C12H12/c1-2-10-7-8-11-5-3-4-6-12(11)9-10/h3-9H,2H2,1H3"
115.2,Celcius,"InChI=1S/C12H12/c1-9-5-3-7-11-8-4-6-10(2)12(9)11/h3-8H,1-2H3"
109.0,Celcius,"InChI=1S/C12H12/c1-9-7-8-10(2)12-6-4-3-5-11(9)12/h3-8H,1-2H3"
114.0,Celcius,"InChI=1S/C12H12/c1-9-7-8-11-5-3-4-6-12(11)10(9)2/h3-8H,1-2H3"
99.0,Celcius,"InChI=1S/C12H16/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h1,3-4,7-8,12H,2,5-6,9-10H2"
80.0,Celcius,"InChI=1S/C12H18/c1-2-3-4-6-9-12-10-7-5-8-11-12/h5,7-8,10-11H,2-4,6,9H2,1H3"
47.0,Celcius,"InChI=1S/C12H24/c1-10(8-11(2,3)4)9-12(5,6)7/h8H,9H2,1-7H3/b10-8+"
79.0,Celcius,"InChI=1S/C12H24/c1-3-5-7-9-11-12-10-8-6-4-2/h3H,1,4-12H2,2H3"
101.0,Celcius,"InChI=1S/C12H24O/c1-2-3-4-5-6-7-8-9-10-11-12-13/h12H,2-11H2,1H3"
93.2,Celcius,"InChI=1S/C12H24O/c1-3-4-5-6-7-8-9-10-12(2)11-13/h11-12H,3-10H2,1-2H3"
107.0,Celcius,"InChI=1S/C12H24O2/c1-3-5-6-7-8-9-10-11-12(13)14-4-2/h3-11H2,1-2H3"
103.2,Celcius,"InChI=1S/C12H24O2/c1-3-5-6-7-8-9-11-14-12(13)10-4-2/h3-11H2,1-2H3"
99.0,Celcius,"InChI=1S/C12H24O2/c1-3-5-7-8-10-12(13)14-11-9-6-4-2/h3-11H2,1-2H3"
99.3,Celcius,"InChI=1S/C12H24O2/c1-3-5-7-9-11-14-12(13)10-8-6-4-2/h3-11H2,1-2H3"
47.0,Celcius,"InChI=1S/C12H26/c1-10(8-11(2,3)4)9-12(5,6)7/h10H,8-9H2,1-7H3"
74.0,Celcius,"InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3"
127.0,Celcius,"InChI=1S/C12H26O/c1-2-3-4-5-6-7-8-9-10-11-12-13/h13H,2-12H2,1H3"
110.0,Celcius,"InChI=1S/C12H26O/c1-3-5-7-8-10-12(11-13)9-6-4-2/h12-13H,3-11H2,1-2H3"
