source,source_file,source_row_index,data_id,split
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,3,mix:3,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,4,mix:4,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,5,mix:5,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,6,mix:6,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,7,mix:7,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,8,mix:8,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,9,mix:9,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,10,mix:10,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,11,mix:11,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,12,mix:12,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,13,mix:13,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,14,mix:14,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,15,mix:15,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,16,mix:16,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,17,mix:17,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,18,mix:18,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,19,mix:19,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,20,mix:20,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,21,mix:21,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,22,mix:22,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,23,mix:23,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,24,mix:24,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,25,mix:25,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,26,mix:26,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,27,mix:27,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,28,mix:28,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,29,mix:29,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,30,mix:30,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,31,mix:31,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,32,mix:32,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,33,mix:33,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,34,mix:34,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,35,mix:35,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,36,mix:36,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,37,mix:37,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,38,mix:38,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,39,mix:39,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,40,mix:40,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,41,mix:41,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,42,mix:42,test
mix,datasets/flashpoint/processed_data/flashpoint_mix_exp.csv,43,mix:43,test
