value,unit,fraction_type,component_inchi_0,component_inchi_1,component_inchi_2,component_inchi_3,fraction_0,fraction_1,fraction_2,fraction_3,temperature,temperature_unit
0.6786019091179095,ln(mPa*s),molar,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,,0.048,0.952,,,298.0,K
0.7539223792744041,ln(mPa*s),molar,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,,0.132,0.868,,,298.0,K
0.7950447069861052,ln(mPa*s),molar,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,,0.164,0.836,,,298.0,K
0.9054400758498844,ln(mPa*s),molar,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,,0.233,0.767,,,298.0,K
1.0359848291773133,ln(mPa*s),molar,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,,0.313,0.687,,,298.0,K
1.2106186715470386,ln(mPa*s),molar,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,,0.405,0.595,,,298.0,K
1.4224695760631636,ln(mPa*s),molar,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,,0.515,0.485,,,298.0,K
1.6900459987125669,ln(mPa*s),molar,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,,0.645,0.355,,,298.0,K
2.048923054087581,ln(mPa*s),molar,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,,0.804,0.196,,,298.0,K
2.292406466083316,ln(mPa*s),molar,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",,,0.895,0.105,,,298.0,K
