test_row_position,source_row_index,y_true,y_pred_mix,component_inchi_0,fraction_0,pure_pred_0,component_inchi_1,fraction_1,pure_pred_1,component_inchi_2,fraction_2,pure_pred_2,component_inchi_3,fraction_3,pure_pred_3,n_components,weighted_pure_pred,predicted_excess,reference_ideal_value,reference_excess_value,ideal_error,excess_error
0,19,-0.1595691469444873,-0.1946274936199188,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.9,-0.2663621306419372,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.1,0.5911353826522827,,0.0,,,0.0,,2,-0.1806123793125152,-0.0140151143074035,-0.1158660818794603,-0.0437030650650269,-0.06474629743305489,0.0296879507576234
1,20,-0.2489094485526563,-0.274855762720108,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.9,-0.3406191170215606,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.1,0.4741700887680053,,0.0,,,0.0,,2,-0.259140196442604,-0.0157155662775039,-0.1992657139477047,-0.0496437346049515,-0.059874482494899295,0.033928168327447605
2,21,-0.1105240844637142,-0.1294747591018676,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.8,-0.2663621306419372,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.2,0.5911353826522827,,0.0,,,0.0,,2,-0.0948626279830932,-0.0346121311187744,-0.0320980361963369,-0.0784260482673772,-0.0627645917867563,0.043813917148602805
3,22,-0.2003249030904819,-0.2142153680324554,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.8,-0.3406191170215606,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.2,0.4741700887680053,,0.0,,,0.0,,2,-0.1776612758636475,-0.0365540921688079,-0.1176160465501358,-0.082708856540346,-0.060045229313511694,0.0461547643715381
4,23,-0.0591764368899469,-0.0685126483440399,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.7,-0.2663621306419372,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.3,0.5911353826522827,,0.0,,,0.0,,2,-0.0091128766536712,-0.0593997716903686,0.0516700094867864,-0.1108464463767333,-0.0607828861404576,0.0514466746863647
5,24,-0.1455233778772237,-0.1610911786556244,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.7,-0.3406191170215606,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.3,0.4741700887680053,,0.0,,,0.0,,2,-0.0961823552846908,-0.0649088233709335,-0.035966379152567,-0.1095569987246566,-0.060215976132123795,0.044648175353723105
6,25,0.0085195648440779,-0.0155468583106994,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.6,-0.2663621306419372,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.4,0.5911353826522827,,0.0,,,0.0,,2,0.0766368746757507,-0.0921837329864502,0.1354380551699098,-0.1269184903258319,-0.05880118049415911,0.03473475733938171
7,26,-0.0895705601174683,-0.113741934299469,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.6,-0.3406191170215606,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.4,0.4741700887680053,,0.0,,,0.0,,2,-0.0147034347057342,-0.0990384995937347,0.0456832882450018,-0.1352538483624702,-0.060386722950736,0.0362153487687355
8,27,0.0732222059572106,0.045606330037117,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.5,0.5911353826522827,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.5,-0.2663621306419372,,0.0,,,0.0,,2,0.1623866260051727,-0.1167802959680557,0.2192061008530332,-0.1459838948958226,-0.056819474847860485,0.029203598927766916
9,28,-0.020493007327647,-0.0758416652679443,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.5,0.4741700887680053,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.5,-0.3406191170215606,,0.0,,,0.0,,2,0.0667754858732223,-0.1426171511411667,0.1273329556425707,-0.1478259629702177,-0.06055746976934839,0.005208811829051002
10,29,0.1577270788700921,0.1268600523471832,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.6,0.5911353826522827,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.4,-0.2663621306419372,,0.0,,,0.0,,2,0.2481363773345947,-0.1212763249874114,0.3029741465361565,-0.1452470676660644,-0.0548377692015618,0.023970742678653012
11,30,0.0571041103062523,-0.0282341539859771,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.6,0.4741700887680053,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.4,-0.3406191170215606,,0.0,,,0.0,,2,0.1482544064521789,-0.176488560438156,0.2089826230401396,-0.1518785127338873,-0.06072821658796068,-0.024610047704268695
12,31,0.240159625199279,0.2414269149303436,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.7,0.5911353826522827,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.3,-0.2663621306419372,,0.0,,,0.0,,2,0.3338861286640167,-0.092459213733673,0.3867421922192799,-0.1465825670200009,-0.05285606355526323,0.05412335328632789
13,32,0.1487469970074153,0.0751129984855651,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.7,0.4741700887680053,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.3,-0.3406191170215606,,0.0,,,0.0,,2,0.2297333270311355,-0.1546203285455703,0.2906322904377084,-0.1418852934302931,-0.06089896340657289,-0.01273503511527721
14,33,0.3446969884212086,0.3572574257850647,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.8,0.5911353826522827,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.2,-0.2663621306419372,,0.0,,,0.0,,2,0.4196358799934387,-0.062378454208374,0.4705102379024033,-0.1258132494811947,-0.05087435790896461,0.06343479527282071
15,34,0.2525935847014468,0.2111744135618209,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.8,0.4741700887680053,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.2,-0.3406191170215606,,0.0,,,0.0,,2,0.3112122476100921,-0.1000378340482711,0.3722819578352774,-0.1196883731338305,-0.061069710225185314,0.0196505390855594
16,35,0.4722602025730788,0.463293969631195,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.9,0.5911353826522827,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.1,-0.2663621306419372,,0.0,,,0.0,,2,0.5053856313228607,-0.0420916616916656,0.5542782835855268,-0.0820180810124479,-0.048892652262666036,0.039926419320782294
17,36,0.3714069754999396,0.3454992473125458,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.9,0.4741700887680053,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",0.1,-0.3406191170215606,,0.0,,,0.0,,2,0.3926911681890488,-0.047191920876503,0.4539316252328462,-0.0825246497329066,-0.06124045704379738,0.0353327288564036
18,130,-0.3582822404698735,-0.4122131764888763,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",0.9,-0.4877994954586029,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.1,0.5911353826522827,,0.0,,,0.0,,2,-0.3799060076475143,-0.0323071688413619,-0.3201974830317519,-0.0380847574381215,-0.059708524615762426,0.0057775885967596
