prediction_row_position,source_row_index,value,unit,fraction_type,temperature,temperature_unit,component_inchi_0,fraction_0,component_inchi_1,fraction_1,component_inchi_2,fraction_2,component_inchi_3,fraction_3,y_true,y_pred,reference_ideal_value,reference_excess_value,predicted_excess,weighted_pure_pred,y_pred_mix,rank_true_desc,rank_pred_desc,rank_reference_ideal_desc,rank_weighted_pure_pred_desc,rank_reference_excess_desc,rank_predicted_excess_desc
0,10,0.2852902930219623,ln(mPa*s),molar,298.15,K,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.5,"InChI=1S/C10H14/c1-9(2)8-10-6-4-3-5-7-10/h3-7,9H,8H2,1-2H3",0.5,,0.0,,0.0,0.2852902930219623,0.34335995,,,0.0729481801390647,0.270411767065525,0.3433599472045898,2726.5,2529.0,,2665.0,,1632.0
1,11,0.4623590866732044,ln(mPa*s),molar,308.15,K,"InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2/t9-,10-",0.8,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.2,,0.0,,0.0,0.4623590866732044,0.5148365,0.5026082740987403,-0.0402491874255359,0.0148842573165893,0.499952232837677,0.5148364901542664,2185.0,2037.0,1719.0,1980.0,3840.0,2819.0
2,12,0.4540697803384258,ln(mPa*s),molar,308.15,K,"InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2/t9-,10-",0.7,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.3,,0.0,,0.0,0.4540697803384258,0.5097057,0.5067299014151997,-0.0526601210767738,0.0103237390518189,0.4993819832801818,0.5097057223320007,2209.0,2056.0,1710.0,1983.0,4107.0,2995.0
3,13,0.4443989229478509,ln(mPa*s),molar,308.15,K,"InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2/t9-,10-",0.6,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.4,,0.0,,0.0,0.4443989229478509,0.5008066,0.5108515287316591,-0.0664526057838081,0.0019948959350586,0.4988117337226867,0.5008066296577454,2245.0,2089.0,1702.0,1987.0,4351.0,3334.0
4,14,0.4508461612082342,ln(mPa*s),molar,308.15,K,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.5,"InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2/t9-,10-",0.5,,0.0,,0.0,0.4508461612082342,0.5061711,0.5149731560481183,-0.0641269948398841,0.0079296231269836,0.4982414841651916,0.5061711072921753,2217.0,2068.0,1683.0,1992.0,4309.0,3084.0
5,15,0.4600565015802104,ln(mPa*s),molar,308.15,K,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.6,"InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2/t9-,10-",0.4,,0.0,,0.0,0.4600565015802104,0.50922924,0.5190947833645777,-0.0590382817843673,0.0115580081939697,0.4976712346076965,0.5092292428016663,2193.5,2058.0,1669.0,1995.0,4223.5,2946.0
6,16,0.4701878759893841,ln(mPa*s),molar,308.15,K,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.7,"InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2/t9-,10-",0.3,,0.0,,0.0,0.4701878759893841,0.50730324,0.5232164106810371,-0.0530285346916529,0.0102022528648376,0.4971009850502014,0.5073032379150391,2156.0,2065.0,1662.0,1998.0,4116.0,3000.0
7,17,0.4830823525101508,ln(mPa*s),molar,308.15,K,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.8,"InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2/t9-,10-",0.2,,0.0,,0.0,0.4830823525101508,0.5107673,0.5273380379974965,-0.0442556854873456,0.0142365455627441,0.4965307354927063,0.5107672810554504,2118.5,2052.0,1650.0,2002.0,3931.0,2837.0
8,18,0.5061082034400913,ln(mPa*s),molar,308.15,K,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.9,"InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2/t9-,10-",0.1,,0.0,,0.0,0.5061082034400913,0.50809246,0.5314596653139558,-0.0253514618738645,0.0121319770812987,0.4959604859352112,0.50809246301651,2065.0,2063.0,1636.0,2006.0,3427.0,2917.0
9,46,-0.0359203274507071,ln(mPa*s),molar,323.15,K,"InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3",0.6,"InChI=1S/C10H12/c1-2-6-10-8-4-3-7-9(10)5-1/h1-2,5-6H,3-4,7-8H2",0.4,,0.0,,0.0,-0.0359203274507071,0.047397643,,,-0.0040545612573623,0.0514522045850753,0.047397643327713,3782.5,3508.0,,3403.0,,3638.0
